ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
99,0.388,0.044,0.02,0.008,0.54
100,0.444,0.0,0.032,0.288,0.236
101,0.424,0.0,0.004,0.024,0.548
102,0.868,0.004,0.004,0.084,0.04
103,0.384,0.0,0.036,0.316,0.264
104,0.392,0.0,0.012,0.296,0.3
105,0.392,0.004,0.012,0.256,0.336
106,0.656,0.0,0.012,0.232,0.1
107,0.476,0.0,0.028,0.356,0.14
108,0.108,0.0,0.148,0.46,0.284
109,0.896,0.008,0.008,0.024,0.064
110,0.356,0.0,0.04,0.212,0.392
111,0.58,0.0,0.004,0.288,0.128
112,0.528,0.0,0.016,0.272,0.184
113,0.308,0.008,0.044,0.448,0.192
114,0.436,0.004,0.004,0.404,0.152
115,0.0,0.0,0.0,0.0,1.0
116,0.536,0.004,0.0,0.12,0.34
117,0.792,0.0,0.004,0.148,0.056
118,0.04,0.0,0.14,0.3,0.52
119,0.228,0.004,0.044,0.564,0.16
120,0.44,0.012,0.124,0.08,0.344
121,0.616,0.0,0.004,0.004,0.376
122,0.792,0.004,0.02,0.024,0.16
123,0.944,0.0,0.008,0.016,0.032
124,0.0,0.056,0.004,0.0,0.94
125,0.02,0.0,0.008,0.0,0.972
126,0.772,0.0,0.02,0.064,0.144
127,0.02,0.0,0.036,0.008,0.936
128,0.784,0.004,0.0,0.072,0.14
129,0.932,0.0,0.008,0.016,0.044
130,0.868,0.0,0.024,0.056,0.052
131,0.496,0.0,0.02,0.416,0.068
132,0.956,0.0,0.016,0.008,0.02
133,0.724,0.008,0.044,0.004,0.22
134,0.324,0.004,0.02,0.364,0.288
135,0.62,0.0,0.132,0.144,0.104
136,0.348,0.0,0.02,0.512,0.12
137,0.56,0.0,0.032,0.16,0.248
138,0.0,0.0,0.0,0.0,1.0
139,0.396,0.004,0.036,0.42,0.144
140,0.344,0.0,0.044,0.14,0.472
141,0.56,0.0,0.012,0.196,0.232
142,0.172,0.02,0.024,0.0,0.784
143,0.2,0.0,0.048,0.452,0.3
144,0.308,0.0,0.072,0.424,0.196
145,0.336,0.0,0.188,0.22,0.256
146,0.312,0.0,0.156,0.3,0.232
147,0.396,0.0,0.036,0.268,0.3
148,0.4,0.0,0.024,0.424,0.152
149,0.0,0.0,0.0,0.0,1.0
150,0.076,0.02,0.016,0.0,0.888
151,0.296,0.036,0.232,0.056,0.38
152,0.004,0.004,0.188,0.012,0.792
153,0.428,0.0,0.02,0.132,0.42
154,0.08,0.0,0.052,0.176,0.692
155,0.704,0.028,0.004,0.028,0.236
156,0.804,0.0,0.004,0.084,0.108
157,0.392,0.0,0.048,0.436,0.124
158,0.004,0.0,0.032,0.02,0.944
159,0.332,0.0,0.056,0.26,0.352
160,0.464,0.0,0.012,0.32,0.204
161,0.424,0.0,0.052,0.212,0.312
162,0.34,0.0,0.02,0.364,0.276
163,0.004,0.008,0.004,0.0,0.984
164,0.992,0.0,0.0,0.0,0.008
165,0.276,0.004,0.048,0.388,0.284
166,0.868,0.0,0.0,0.02,0.112
167,0.488,0.0,0.06,0.332,0.12
168,0.52,0.0,0.036,0.28,0.164
169,0.552,0.0,0.004,0.356,0.088
170,0.568,0.0,0.008,0.092,0.332
171,0.0,0.0,0.096,0.0,0.904
172,0.388,0.0,0.012,0.292,0.308
173,0.328,0.0,0.14,0.392,0.14
174,0.224,0.0,0.096,0.48,0.2
175,0.364,0.008,0.02,0.548,0.06
176,0.408,0.016,0.012,0.012,0.552
177,0.28,0.0,0.088,0.452,0.18
178,0.748,0.0,0.032,0.12,0.1
179,0.812,0.008,0.032,0.004,0.144
180,0.108,0.008,0.052,0.016,0.816
181,0.0,0.008,0.028,0.0,0.964
182,0.616,0.004,0.028,0.02,0.332
183,0.404,0.0,0.008,0.296,0.292
184,0.116,0.0,0.052,0.168,0.664
185,0.384,0.012,0.012,0.316,0.276
186,0.404,0.008,0.008,0.4,0.18
187,0.004,0.0,0.072,0.0,0.924
188,0.332,0.0,0.028,0.432,0.208
189,0.8,0.0,0.004,0.088,0.108
190,0.804,0.0,0.032,0.12,0.044
191,0.468,0.008,0.02,0.412,0.092
192,0.444,0.0,0.052,0.34,0.164
193,0.22,0.0,0.036,0.268,0.476
194,0.364,0.004,0.028,0.064,0.54
195,0.68,0.0,0.0,0.084,0.236
196,0.54,0.008,0.012,0.052,0.388
197,0.576,0.0,0.036,0.332,0.056
198,0.516,0.0,0.024,0.296,0.164
199,0.296,0.004,0.02,0.428,0.252
200,0.552,0.0,0.016,0.232,0.2
201,0.0,0.008,0.012,0.0,0.98
202,0.22,0.0,0.008,0.224,0.548
203,0.732,0.0,0.0,0.224,0.044
204,0.724,0.0,0.004,0.036,0.236
205,0.184,0.008,0.088,0.468,0.252
206,0.476,0.028,0.02,0.104,0.372
207,0.316,0.0,0.028,0.272,0.384
208,0.224,0.0,0.072,0.348,0.356
209,0.28,0.0,0.084,0.452,0.184
210,0.508,0.0,0.016,0.34,0.136
211,0.004,0.004,0.06,0.0,0.932
212,0.212,0.0,0.044,0.508,0.236
213,0.632,0.0,0.036,0.26,0.072
214,0.792,0.0,0.0,0.032,0.176
215,0.0,0.016,0.032,0.0,0.952
216,0.648,0.0,0.008,0.048,0.296
217,0.724,0.004,0.06,0.044,0.168
218,0.216,0.0,0.012,0.124,0.648
219,0.468,0.0,0.016,0.144,0.372
220,0.324,0.004,0.02,0.508,0.144
221,0.036,0.0,0.184,0.484,0.296
222,0.004,0.028,0.044,0.0,0.924
223,0.236,0.036,0.036,0.0,0.692
224,0.772,0.0,0.0,0.176,0.052
225,0.216,0.0,0.124,0.368,0.292
226,0.804,0.0,0.004,0.096,0.096
227,0.092,0.036,0.14,0.004,0.728
228,0.008,0.004,0.02,0.024,0.944
229,0.532,0.0,0.064,0.2,0.204
230,0.004,0.004,0.012,0.0,0.98
231,0.94,0.0,0.0,0.052,0.008
232,0.836,0.0,0.004,0.068,0.092
233,0.008,0.004,0.028,0.0,0.96
234,0.04,0.0,0.296,0.5,0.164
235,0.292,0.008,0.048,0.592,0.06
236,0.816,0.004,0.0,0.024,0.156
237,0.32,0.0,0.008,0.46,0.212
238,0.032,0.004,0.156,0.02,0.788
239,0.764,0.004,0.008,0.16,0.064
240,0.78,0.004,0.02,0.032,0.164
241,0.876,0.0,0.004,0.02,0.1
242,0.196,0.0,0.036,0.372,0.396
243,0.888,0.0,0.04,0.016,0.056
244,0.332,0.0,0.016,0.148,0.504
245,0.368,0.0,0.048,0.232,0.352
246,0.388,0.0,0.024,0.412,0.176
247,0.236,0.0,0.0,0.156,0.608
248,0.312,0.016,0.008,0.156,0.508
249,0.204,0.0,0.016,0.48,0.3
250,0.74,0.008,0.02,0.028,0.204
251,0.0,0.0,0.0,0.948,0.052
252,0.332,0.0,0.096,0.432,0.14
253,0.016,0.004,0.076,0.0,0.904
254,0.272,0.0,0.132,0.44,0.156
255,0.0,0.0,0.008,0.0,0.992
256,0.38,0.0,0.008,0.192,0.42
257,0.204,0.012,0.084,0.084,0.616
258,0.652,0.0,0.004,0.048,0.296
259,0.18,0.004,0.048,0.516,0.252
260,0.92,0.0,0.004,0.016,0.06
261,0.688,0.0,0.004,0.072,0.236
262,0.744,0.0,0.028,0.132,0.096
263,0.784,0.0,0.004,0.128,0.084
264,0.364,0.0,0.048,0.304,0.284
265,0.376,0.0,0.016,0.472,0.136
266,0.236,0.004,0.036,0.128,0.596
267,0.04,0.016,0.104,0.008,0.832
268,0.02,0.024,0.208,0.02,0.728
269,0.0,0.0,0.0,0.0,1.0
270,0.836,0.0,0.004,0.104,0.056
271,0.012,0.008,0.044,0.0,0.936
272,0.172,0.184,0.252,0.008,0.384
273,0.104,0.0,0.048,0.368,0.48
274,0.156,0.016,0.148,0.096,0.584
275,0.252,0.028,0.288,0.06,0.372
276,0.02,0.024,0.236,0.0,0.72
277,0.004,0.02,0.02,0.0,0.956
278,0.22,0.032,0.124,0.056,0.568
279,0.472,0.0,0.032,0.072,0.424
280,0.212,0.044,0.068,0.084,0.592
281,0.576,0.0,0.016,0.244,0.164
282,0.324,0.0,0.06,0.472,0.144
283,0.004,0.004,0.02,0.0,0.972
284,0.828,0.0,0.008,0.012,0.152
285,0.136,0.0,0.112,0.54,0.212
286,0.316,0.008,0.044,0.38,0.252
287,0.016,0.008,0.008,0.004,0.964
288,0.0,0.008,0.032,0.0,0.96
289,0.564,0.0,0.008,0.192,0.236
290,0.488,0.0,0.048,0.356,0.108
291,0.816,0.0,0.044,0.024,0.116
292,0.948,0.0,0.0,0.024,0.028
293,0.66,0.0,0.04,0.008,0.292
294,0.116,0.0,0.112,0.06,0.712
295,0.308,0.0,0.072,0.588,0.032
296,0.048,0.004,0.056,0.012,0.88
297,0.416,0.0,0.032,0.336,0.216
298,0.044,0.012,0.164,0.024,0.756
299,0.656,0.0,0.024,0.18,0.14
300,0.472,0.0,0.024,0.148,0.356
301,0.368,0.012,0.024,0.552,0.044
302,0.676,0.0,0.0,0.024,0.3
303,0.96,0.0,0.0,0.032,0.008
304,0.368,0.0,0.056,0.288,0.288
305,0.016,0.02,0.372,0.004,0.588
306,0.4,0.0,0.088,0.4,0.112
307,0.952,0.0,0.004,0.024,0.02
308,0.324,0.0,0.008,0.132,0.536
309,0.78,0.0,0.0,0.152,0.068
310,0.112,0.048,0.048,0.0,0.792
311,0.376,0.008,0.032,0.16,0.424
312,0.78,0.0,0.052,0.008,0.16
313,0.02,0.008,0.116,0.0,0.856
314,0.224,0.0,0.068,0.512,0.196
315,0.0,0.0,0.004,0.0,0.996
316,0.44,0.0,0.0,0.492,0.068
317,0.376,0.0,0.028,0.496,0.1
318,0.832,0.0,0.016,0.024,0.128
319,0.004,0.0,0.076,0.04,0.88
320,0.556,0.0,0.028,0.348,0.068
321,0.264,0.0,0.024,0.244,0.468
322,0.0,0.0,0.032,0.0,0.968
323,0.0,0.004,0.008,0.0,0.988
324,0.7,0.008,0.028,0.036,0.228
325,0.768,0.0,0.0,0.036,0.196
326,0.932,0.0,0.008,0.04,0.02
327,0.644,0.0,0.0,0.072,0.284
328,0.348,0.0,0.052,0.332,0.268
329,0.652,0.0,0.02,0.216,0.112
330,0.084,0.004,0.068,0.216,0.628
331,0.248,0.0,0.124,0.416,0.212
332,0.0,0.0,0.004,0.0,0.996
333,0.904,0.0,0.004,0.02,0.072
334,0.228,0.0,0.0,0.016,0.756
335,0.04,0.092,0.184,0.028,0.656
336,0.7,0.0,0.0,0.004,0.296
337,0.012,0.012,0.704,0.012,0.26
338,0.276,0.0,0.044,0.228,0.452
339,0.136,0.044,0.196,0.044,0.58
340,0.424,0.112,0.016,0.372,0.076
341,0.128,0.012,0.068,0.016,0.776
342,0.696,0.004,0.004,0.052,0.244
343,0.06,0.016,0.548,0.016,0.36
344,0.652,0.0,0.02,0.16,0.168
345,0.756,0.0,0.016,0.044,0.184
346,0.308,0.0,0.064,0.356,0.272
347,0.328,0.0,0.024,0.556,0.092
348,0.116,0.02,0.016,0.004,0.844
349,0.176,0.0,0.056,0.58,0.188
350,0.304,0.004,0.112,0.408,0.172
351,0.756,0.0,0.004,0.124,0.116
352,0.0,0.0,0.028,0.0,0.972
353,0.328,0.028,0.04,0.5,0.104
354,0.568,0.012,0.016,0.024,0.38
355,0.66,0.0,0.012,0.216,0.112
356,0.012,0.204,0.464,0.0,0.32
357,0.404,0.004,0.072,0.064,0.456
358,0.672,0.0,0.016,0.012,0.3
359,0.24,0.02,0.016,0.008,0.716
360,0.604,0.0,0.036,0.032,0.328
361,0.912,0.0,0.0,0.004,0.084
362,0.072,0.0,0.068,0.316,0.544
363,0.328,0.0,0.036,0.472,0.164
364,0.564,0.004,0.012,0.052,0.368
365,0.512,0.0,0.044,0.068,0.376
366,0.008,0.028,0.732,0.012,0.22
367,0.28,0.008,0.004,0.004,0.704
368,0.1,0.012,0.336,0.176,0.376
369,0.004,0.0,0.02,0.0,0.976
370,0.428,0.0,0.08,0.04,0.452
371,0.404,0.0,0.052,0.336,0.208
372,0.76,0.0,0.012,0.04,0.188
373,0.98,0.004,0.0,0.012,0.004
374,0.236,0.0,0.012,0.52,0.232
375,0.008,0.016,0.056,0.004,0.916
376,0.372,0.004,0.024,0.472,0.128
377,0.42,0.0,0.188,0.196,0.196
378,0.76,0.0,0.016,0.18,0.044
379,0.376,0.0,0.028,0.184,0.412
380,0.176,0.056,0.032,0.012,0.724
381,0.716,0.008,0.076,0.056,0.144
382,0.028,0.016,0.14,0.0,0.816
383,0.024,0.008,0.272,0.004,0.692
384,0.004,0.004,0.176,0.004,0.812
385,0.492,0.0,0.0,0.404,0.104
386,0.176,0.0,0.004,0.528,0.292
387,0.0,0.0,0.016,0.0,0.984
388,0.604,0.0,0.008,0.324,0.064
389,0.928,0.0,0.0,0.02,0.052
390,0.896,0.0,0.004,0.028,0.072
391,0.164,0.0,0.184,0.436,0.216
392,0.0,0.032,0.048,0.008,0.912
393,0.928,0.0,0.0,0.024,0.048
394,0.008,0.004,0.012,0.0,0.976
395,0.24,0.0,0.012,0.376,0.372
396,0.336,0.008,0.028,0.392,0.236
397,0.116,0.0,0.168,0.484,0.232
398,0.496,0.032,0.04,0.028,0.404
399,0.684,0.0,0.032,0.16,0.124
400,0.556,0.012,0.048,0.156,0.228
401,0.872,0.0,0.012,0.036,0.08
402,0.636,0.0,0.02,0.216,0.128
403,0.58,0.0,0.012,0.344,0.064
404,0.0,0.036,0.092,0.0,0.872
405,0.264,0.012,0.028,0.016,0.68
406,0.292,0.0,0.072,0.452,0.184
407,0.684,0.004,0.008,0.04,0.264
408,0.176,0.0,0.048,0.544,0.232
409,0.8,0.004,0.004,0.088,0.104
410,0.0,0.024,0.092,0.0,0.884
411,0.176,0.004,0.108,0.388,0.324
412,0.86,0.0,0.0,0.004,0.136
413,0.36,0.0,0.052,0.348,0.24
414,0.96,0.0,0.0,0.032,0.008
415,0.396,0.0,0.104,0.396,0.104
416,0.988,0.0,0.0,0.012,0.0
417,0.576,0.0,0.0,0.256,0.168
418,0.408,0.004,0.016,0.228,0.344
419,0.776,0.0,0.008,0.096,0.12
420,0.68,0.0,0.016,0.06,0.244
421,0.836,0.004,0.004,0.1,0.056
422,0.0,0.0,0.048,0.0,0.952
423,0.008,0.204,0.212,0.0,0.576
424,0.78,0.052,0.0,0.024,0.144
425,0.524,0.0,0.02,0.016,0.44
426,0.028,0.116,0.224,0.016,0.616
427,0.756,0.004,0.04,0.044,0.156
428,0.024,0.008,0.212,0.004,0.752
429,0.08,0.0,0.016,0.196,0.708
430,0.004,0.016,0.052,0.0,0.928
431,0.348,0.004,0.02,0.06,0.568
432,0.3,0.0,0.036,0.524,0.14
433,0.496,0.0,0.024,0.276,0.204
434,0.468,0.004,0.044,0.272,0.212
435,0.0,0.06,0.192,0.0,0.748
436,0.0,0.0,0.004,0.0,0.996
437,0.468,0.016,0.012,0.02,0.484
438,0.46,0.0,0.028,0.288,0.224
439,0.0,0.0,0.008,0.0,0.992
440,0.62,0.0,0.0,0.072,0.308
441,0.152,0.036,0.152,0.116,0.544
442,0.504,0.0,0.008,0.22,0.268
443,0.86,0.0,0.0,0.056,0.084
444,0.236,0.0,0.04,0.592,0.132
445,0.372,0.0,0.04,0.488,0.1
446,0.528,0.0,0.068,0.276,0.128
447,0.528,0.008,0.06,0.124,0.28
448,0.14,0.076,0.012,0.012,0.76
449,0.652,0.024,0.052,0.024,0.248
450,0.188,0.016,0.028,0.088,0.68
451,0.008,0.0,0.04,0.0,0.952
452,0.284,0.0,0.116,0.088,0.512
453,0.632,0.0,0.02,0.26,0.088
454,0.0,0.0,0.024,0.0,0.976
455,0.436,0.0,0.028,0.3,0.236
456,0.576,0.0,0.012,0.272,0.14
457,0.792,0.0,0.02,0.028,0.16
458,0.068,0.0,0.3,0.404,0.228
459,0.66,0.0,0.012,0.052,0.276
460,0.004,0.028,0.092,0.024,0.852
461,0.704,0.0,0.02,0.172,0.104
462,0.416,0.0,0.04,0.408,0.136
463,0.004,0.008,0.14,0.0,0.848
464,0.14,0.0,0.16,0.356,0.344
465,0.484,0.0,0.076,0.376,0.064
466,0.548,0.0,0.008,0.34,0.104
467,0.016,0.008,0.384,0.088,0.504
468,0.652,0.0,0.016,0.248,0.084
469,0.6,0.0,0.0,0.1,0.3
470,0.364,0.0,0.06,0.056,0.52
471,0.044,0.032,0.42,0.0,0.504
472,0.016,0.012,0.492,0.092,0.388
473,0.852,0.0,0.016,0.004,0.128
474,0.272,0.0,0.188,0.46,0.08
475,0.652,0.004,0.0,0.224,0.12
476,0.872,0.0,0.0,0.076,0.052
477,0.0,0.0,0.0,0.0,1.0
478,0.54,0.0,0.012,0.34,0.108
479,0.0,0.0,0.004,0.0,0.996
480,0.892,0.0,0.012,0.048,0.048
481,0.068,0.0,0.152,0.496,0.284
482,0.16,0.0,0.112,0.324,0.404
483,0.28,0.0,0.004,0.592,0.124
484,0.04,0.028,0.136,0.008,0.788
485,0.776,0.028,0.02,0.036,0.14
486,0.028,0.0,0.28,0.388,0.304
487,0.832,0.0,0.0,0.076,0.092
488,0.608,0.0,0.0,0.28,0.112
489,0.24,0.048,0.084,0.004,0.624
490,0.0,0.016,0.028,0.0,0.956
491,0.0,0.0,0.0,0.0,1.0
492,0.06,0.0,0.18,0.452,0.308
493,0.532,0.0,0.0,0.384,0.084
494,0.5,0.0,0.032,0.352,0.116
495,0.152,0.004,0.052,0.092,0.7
496,0.48,0.0,0.036,0.072,0.412
497,0.38,0.0,0.008,0.288,0.324
498,0.496,0.0,0.036,0.22,0.248
499,0.788,0.0,0.012,0.032,0.168
500,0.156,0.0,0.092,0.468,0.284
501,0.684,0.012,0.104,0.008,0.192
502,0.296,0.0,0.04,0.528,0.136
503,0.456,0.052,0.136,0.04,0.316
504,0.824,0.02,0.016,0.056,0.084
505,0.296,0.0,0.032,0.512,0.16
506,0.404,0.004,0.024,0.3,0.268
507,0.148,0.012,0.144,0.444,0.252
508,0.244,0.0,0.156,0.324,0.276
509,0.468,0.004,0.1,0.22,0.208
510,0.856,0.0,0.012,0.024,0.108
511,0.64,0.0,0.0,0.116,0.244
512,0.1,0.0,0.056,0.6,0.244
513,0.424,0.0,0.08,0.352,0.144
514,0.152,0.0,0.068,0.0,0.78
515,0.228,0.004,0.04,0.656,0.072
516,0.428,0.0,0.052,0.168,0.352
517,0.264,0.004,0.12,0.04,0.572
518,0.384,0.016,0.024,0.02,0.556
519,0.0,0.0,0.0,0.004,0.996
520,0.0,0.0,0.028,0.0,0.972
521,0.492,0.004,0.088,0.256,0.16
522,0.412,0.016,0.0,0.052,0.52
523,0.908,0.0,0.016,0.036,0.04
524,0.248,0.0,0.052,0.184,0.516
525,0.704,0.0,0.0,0.008,0.288
526,0.18,0.0,0.116,0.564,0.14
527,0.324,0.0,0.016,0.192,0.468
528,0.3,0.0,0.064,0.476,0.16
529,0.0,0.0,0.024,0.0,0.976
530,0.68,0.004,0.004,0.108,0.204
531,0.004,0.004,0.016,0.0,0.976
532,0.452,0.0,0.02,0.472,0.056
533,0.752,0.0,0.0,0.048,0.2
534,0.756,0.004,0.0,0.024,0.216
535,0.02,0.032,0.28,0.072,0.596
536,0.752,0.0,0.008,0.036,0.204
537,0.668,0.0,0.012,0.232,0.088
538,0.288,0.0,0.012,0.104,0.596
539,0.228,0.0,0.06,0.44,0.272
540,0.04,0.004,0.264,0.372,0.32
541,0.016,0.0,0.012,0.904,0.068
542,0.0,0.004,0.112,0.0,0.884
543,0.856,0.0,0.008,0.028,0.108
544,0.0,0.008,0.02,0.0,0.972
545,0.004,0.0,0.0,0.0,0.996
546,0.448,0.0,0.024,0.42,0.108
547,0.004,0.0,0.02,0.0,0.976
548,0.748,0.0,0.004,0.156,0.092
549,0.132,0.092,0.26,0.084,0.432
550,0.0,0.0,0.004,0.0,0.996
551,0.444,0.0,0.02,0.208,0.328
552,0.768,0.0,0.024,0.124,0.084
553,0.584,0.0,0.012,0.248,0.156
554,0.78,0.0,0.012,0.02,0.188
555,0.0,0.0,0.008,0.004,0.988
556,0.268,0.004,0.092,0.06,0.576
557,0.096,0.0,0.116,0.488,0.3
558,0.704,0.0,0.0,0.14,0.156
559,0.908,0.0,0.0,0.016,0.076
560,0.192,0.004,0.084,0.548,0.172
561,0.492,0.016,0.028,0.392,0.072
562,0.24,0.0,0.084,0.596,0.08
563,0.048,0.0,0.044,0.26,0.648
564,0.644,0.0,0.008,0.264,0.084
565,0.04,0.008,0.196,0.0,0.756
566,0.404,0.0,0.04,0.272,0.284
567,0.056,0.012,0.068,0.032,0.832
568,0.684,0.0,0.004,0.156,0.156
569,0.512,0.0,0.092,0.32,0.076
570,0.744,0.004,0.0,0.12,0.132
571,0.696,0.008,0.004,0.212,0.08
572,0.468,0.0,0.024,0.288,0.22
573,0.068,0.0,0.104,0.332,0.496
574,0.004,0.02,0.044,0.004,0.928
575,0.864,0.008,0.004,0.04,0.084
576,0.952,0.0,0.0,0.02,0.028
577,0.356,0.004,0.068,0.5,0.072
578,0.152,0.008,0.0,0.0,0.84
579,0.04,0.02,0.188,0.012,0.74
580,0.528,0.008,0.008,0.324,0.132
581,0.408,0.0,0.032,0.412,0.148
582,0.008,0.0,0.092,0.0,0.9
583,0.3,0.0,0.024,0.42,0.256
584,0.864,0.008,0.0,0.06,0.068
585,0.296,0.0,0.024,0.112,0.568
586,0.1,0.068,0.116,0.0,0.716
587,0.856,0.0,0.06,0.028,0.056
588,0.084,0.016,0.08,0.08,0.74
589,0.232,0.004,0.0,0.248,0.516
590,0.596,0.0,0.028,0.268,0.108
591,0.524,0.0,0.024,0.328,0.124
592,0.408,0.004,0.032,0.388,0.168
593,0.024,0.008,0.012,0.0,0.956
594,0.2,0.0,0.088,0.476,0.236
595,0.704,0.008,0.024,0.064,0.2
596,0.42,0.004,0.048,0.34,0.188
597,0.916,0.0,0.056,0.02,0.008
598,0.28,0.008,0.076,0.448,0.188
599,0.804,0.0,0.004,0.14,0.052
600,0.144,0.08,0.156,0.016,0.604
601,0.0,0.0,0.08,0.0,0.92
602,0.536,0.0,0.044,0.172,0.248
603,0.356,0.012,0.056,0.236,0.34
604,0.064,0.008,0.188,0.504,0.236
605,0.0,0.004,0.012,0.004,0.98
606,0.004,0.044,0.204,0.004,0.744
607,0.572,0.0,0.008,0.068,0.352
608,0.252,0.016,0.38,0.052,0.3
609,0.028,0.012,0.104,0.0,0.856
610,0.12,0.0,0.128,0.228,0.524
611,0.472,0.0,0.012,0.16,0.356
612,0.436,0.0,0.044,0.188,0.332
613,0.704,0.004,0.008,0.032,0.252
614,0.4,0.0,0.036,0.104,0.46
615,0.756,0.0,0.0,0.02,0.224
616,0.452,0.008,0.024,0.448,0.068
617,0.88,0.0,0.0,0.076,0.044
618,0.448,0.0,0.064,0.272,0.216
619,0.932,0.0,0.0,0.032,0.036
620,0.904,0.0,0.028,0.012,0.056
621,0.096,0.02,0.2,0.012,0.672
622,0.804,0.0,0.012,0.124,0.06
623,0.204,0.024,0.22,0.1,0.452
624,0.364,0.0,0.04,0.44,0.156
625,0.424,0.0,0.016,0.268,0.292
626,0.296,0.0,0.048,0.152,0.504
627,0.172,0.0,0.076,0.208,0.544
628,0.028,0.016,0.1,0.0,0.856
629,0.428,0.0,0.016,0.496,0.06
630,0.004,0.004,0.024,0.0,0.968
631,0.252,0.004,0.012,0.456,0.276
632,0.576,0.0,0.012,0.324,0.088
633,0.692,0.0,0.008,0.044,0.256
